City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
70,Vanimo,PG,75.04,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
72,Mount Isa,AU,76.77,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
79,Ewa Beach,US,78.75,broken clouds,21.3156,-158.0072,Uncle Junior Robert
86,Kavieng,PG,80.31,moderate rain,-2.5744,150.7967,Nusa Island Retreat
93,Saint-Philippe,RE,78.39,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
94,San Patricio,US,75.29,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
99,Caravelas,BR,80.69,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
100,Vaini,TO,79.81,light rain,-21.2,-175.2,Keleti Beach Resort
105,Makakilo City,US,77.32,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
108,Saint-Joseph,RE,77.38,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
111,Bambous Virieux,MU,80.22,light rain,-20.3428,57.7575,Casa Tia Villa
112,Wukari,NG,75.4,clear sky,7.85,9.7833,Elimtop
117,Buala,SB,81.91,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
123,Gizo,SB,82.94,overcast clouds,-8.103,156.8419,Imagination Island
127,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
128,Butaritari,KI,81.34,light rain,3.0707,172.7902,Isles Sunset Lodge
130,Kombissiri,BF,75.34,clear sky,12.0656,-1.3375,Mitibkieta Annexe
132,Karratha,AU,81.91,light rain,-20.7377,116.8463,ibis Styles Karratha
137,East London,ZA,77.07,overcast clouds,-33.0153,27.9116,Tu Casa
141,Manokwari,ID,75.87,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
142,Sola,VU,81.84,moderate rain,-13.8833,167.55,Leumerus Bungalows
143,Byron Bay,AU,78.87,scattered clouds,-28.65,153.6167,Backpackers Inn
146,Loandjili,CG,79.61,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
152,Marechal Candido Rondon,BR,79.79,broken clouds,-24.5561,-54.0567,Hotel Bender
153,Alice Springs,AU,76.55,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
156,Muisne,EC,80.71,overcast clouds,0.6,-80.0333,Quinta Samay
157,Hithadhoo,MV,82.4,scattered clouds,-0.6,73.0833,Scoop Guest House
159,Sinnamary,GF,78.35,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
161,Vao,NC,77.56,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
166,Carutapera,BR,77.4,overcast clouds,-1.195,-46.02,Lidera
174,Manta,EC,76.78,light rain,-0.95,-80.7333,Balandra Hotel
182,Belmonte,BR,82.9,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
183,Souillac,MU,80.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
184,Viedma,AR,79.93,scattered clouds,-40.8135,-62.9967,Hotel Cristal
195,Tecoanapa,MX,83.8,clear sky,16.5167,-98.75,Hotel Manglares
196,Pisco,PE,75.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
200,Hilo,US,80.33,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
211,Axim,GH,78.89,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
212,Lubao,PH,77.14,scattered clouds,14.9167,120.55,Hacienda Gracia
214,San Policarpo,PH,78.31,broken clouds,12.1791,125.5072,Agapita M. Nicart
218,Maracaju,BR,83.62,broken clouds,-21.6144,-55.1683,Maracaju Plaza Hotel - Hospedagem - Maracaju/MS
219,Batticaloa,LK,79.2,overcast clouds,7.7102,81.6924,Grand Star Guest House
233,Rio Das Ostras,BR,80.53,light rain,-22.5269,-41.945,Pousada Girassol
235,Itacare,BR,80.19,clear sky,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
240,Chilca,PE,78.96,scattered clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
241,Trairi,BR,80.01,scattered clouds,-3.2778,-39.2689,janelas do mar
247,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
253,Kochi,IN,76.98,clear sky,9.9399,76.2602,Hotel Abad
255,Karaton,ID,77.16,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
263,Kulhudhuffushi,MV,81.72,clear sky,6.6221,73.07,Haajy Guest House 1
274,Kpandae,GH,82.83,overcast clouds,8.4689,-0.0113,S. Amaski Guest House
276,Gold Coast,AU,81.37,broken clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
281,Bowen,AU,79.99,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
286,Port Elizabeth,ZA,75.09,overcast clouds,-33.918,25.5701,39 On Nile Guest House
