City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
89,Taltal,CL,2022-01-31 21:05:27,-25.4,-70.4833,68.97,67,5,6.64,clear sky
90,Horta,PT,2022-01-31 21:09:15,38.5333,-28.6333,60.44,72,20,20.71,few clouds
91,Hofn,IS,2022-01-31 21:09:15,64.2539,-15.2082,29.97,84,100,2.28,overcast clouds
92,Ferentino,IT,2022-01-31 21:09:16,41.6953,13.2564,45.75,91,100,3.15,light rain
93,Saint-Philippe,RE,2022-01-31 21:09:16,-21.3585,55.7679,78.39,80,96,15.19,overcast clouds
94,San Patricio,US,2022-01-31 21:04:37,28.017,-97.5169,75.29,88,100,9.4,overcast clouds
95,Ilulissat,GL,2022-01-31 21:09:17,69.2167,-51.1,8.62,66,75,21.85,broken clouds
96,Beaverlodge,CA,2022-01-31 21:09:17,55.2166,-119.4361,2.34,83,100,6.11,overcast clouds
97,Salinas,US,2022-01-31 21:06:41,36.6777,-121.6555,63.66,57,0,3.44,clear sky
98,Victoria,HK,2022-01-31 21:06:03,22.2855,114.1577,57.94,88,99,4.0,overcast clouds
99,Caravelas,BR,2022-01-31 21:09:18,-17.7125,-39.2481,80.69,80,1,9.84,clear sky
100,Vaini,TO,2022-01-31 21:09:18,-21.2,-175.2,79.81,75,100,14.41,light rain
101,Lockport,US,2022-01-31 21:09:16,41.5895,-88.0578,35.11,68,0,7.0,clear sky
102,Saint Anthony,US,2022-01-31 21:09:18,45.0205,-93.218,29.25,72,0,7.0,clear sky
103,Mombetsu,JP,2022-01-31 21:09:19,44.3525,143.3525,21.45,74,79,13.78,broken clouds
104,Ishigaki,JP,2022-01-31 21:09:19,24.3448,124.1572,66.02,63,99,15.73,overcast clouds
105,Makakilo City,US,2022-01-31 21:04:37,21.3469,-158.0858,77.32,59,75,5.75,broken clouds
106,Truth Or Consequences,US,2022-01-31 21:07:45,33.1284,-107.2528,61.92,29,0,3.44,clear sky
107,Nevsehir,TR,2022-01-31 21:09:20,38.9167,34.6667,27.61,100,100,3.44,mist
108,Saint-Joseph,RE,2022-01-31 21:09:20,-21.3667,55.6167,77.38,80,97,15.95,overcast clouds
109,Ust-Kan,RU,2022-01-31 21:09:21,50.9276,84.761,9.05,96,100,1.88,overcast clouds
110,Chipata,ZM,2022-01-31 21:09:21,-13.6333,32.65,63.48,93,30,3.27,scattered clouds
111,Bambous Virieux,MU,2022-01-31 21:09:22,-20.3428,57.7575,80.22,79,27,24.23,light rain
112,Wukari,NG,2022-01-31 21:09:22,7.85,9.7833,75.4,17,4,6.87,clear sky
113,Lebu,CL,2022-01-31 21:08:04,-37.6167,-73.65,61.18,66,0,19.33,clear sky
114,New Norfolk,AU,2022-01-31 21:04:46,-42.7826,147.0587,70.92,76,16,3.04,few clouds
115,Ulladulla,AU,2022-01-31 21:09:23,-35.35,150.4667,73.87,82,1,1.74,clear sky
116,Saint-Francois,FR,2022-01-31 21:09:23,46.4154,3.9054,37.42,86,0,8.05,clear sky
117,Buala,SB,2022-01-31 21:09:23,-8.145,159.5921,81.91,78,94,3.51,overcast clouds
118,Pacific Grove,US,2022-01-31 21:09:24,36.6177,-121.9166,63.41,63,0,3.0,clear sky
