City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Changping,CN,2022-01-31 04:47:12,40.2186,116.2197,31.64,20,1,11.21
104,Acapulco,MX,2022-01-31 04:47:12,16.8634,-99.8901,76.42,76,5,4.59
105,East London,ZA,2022-01-31 04:47:13,-33.0153,27.9116,72.54,88,0,9.22
106,Pisco,PE,2022-01-31 04:47:13,-13.7,-76.2167,69.85,83,40,8.05
107,Khatanga,RU,2022-01-31 04:47:14,71.9667,102.5,-6.12,99,98,7.14
108,Sujangarh,IN,2022-01-31 04:47:14,27.7011,74.4649,68.81,18,0,2.8
109,Namtsy,RU,2022-01-31 04:47:15,62.7161,129.6658,-25.49,96,97,2.04
110,Tairua,NZ,2022-01-31 04:47:15,-37.0167,175.85,69.89,66,81,10.11
111,Hermanus,ZA,2022-01-31 04:47:15,-34.4187,19.2345,72.81,79,100,12.5
112,Clarence Town,AU,2022-01-31 04:47:16,-32.5833,151.7833,83.55,73,87,7.11
113,Dali,CN,2022-01-31 04:47:17,25.7,100.1833,50.27,46,36,4.74
114,Bethel,US,2022-01-31 04:47:17,41.3712,-73.414,22.05,68,0,0.0
115,Kaeo,NZ,2022-01-31 04:47:17,-35.1,173.7833,72.32,80,100,14.16
116,Harbour Breton,CA,2022-01-31 04:47:18,47.4833,-55.7983,37.0,68,100,23.38
117,San Andres,CO,2022-01-31 04:42:48,12.5847,-81.7006,77.02,83,75,10.36
118,Gat,IL,2022-01-31 04:47:19,31.61,34.7642,47.39,100,98,5.77
119,Progreso,MX,2022-01-31 04:47:19,21.2833,-89.6667,64.51,72,0,9.62
120,Narasannapeta,IN,2022-01-31 04:47:19,18.4167,84.05,76.35,55,5,3.02
121,Honiara,SB,2022-01-31 04:47:20,-9.4333,159.95,85.1,72,66,5.32
122,Durban,ZA,2022-01-31 04:47:20,-29.8579,31.0292,75.02,86,100,1.01
123,Qaanaaq,GL,2022-01-31 04:47:21,77.484,-69.3632,-7.46,93,100,4.41
124,Santa Maria,BR,2022-01-31 04:47:22,-29.6842,-53.8069,67.23,83,15,3.51
125,Olafsvik,IS,2022-01-31 04:47:22,64.8945,-23.7142,25.9,56,100,15.19
126,Kaitangata,NZ,2022-01-31 04:47:23,-46.2817,169.8464,63.61,77,81,4.32
127,Torbay,CA,2022-01-31 04:47:23,47.6666,-52.7314,35.58,83,100,24.16
128,Yabrud,SY,2022-01-31 04:47:23,33.9674,36.6574,24.46,70,88,3.4
129,Karratha,AU,2022-01-31 04:47:24,-20.7377,116.8463,94.91,47,72,21.97
130,Mogadishu,SO,2022-01-31 04:47:24,2.0371,45.3438,78.67,73,40,10.36
131,Assiniboia,CA,2022-01-31 04:47:25,49.6334,-105.9845,30.11,80,100,9.22
132,Isangel,VU,2022-01-31 04:47:25,-19.55,169.2667,86.11,84,75,4.61
133,Pascagoula,US,2022-01-31 04:47:26,30.3658,-88.5561,52.02,84,0,3.44
134,Nynashamn,SE,2022-01-31 04:47:26,58.9034,17.9479,29.1,79,10,13.29
135,Lagoa,PT,2022-01-31 04:47:27,39.05,-27.9833,58.37,72,31,25.95
136,Aranos,NA,2022-01-31 04:48:27,-24.1333,19.1167,69.55,77,79,12.66
137,Vao,NC,2022-01-31 04:48:28,-22.6667,167.4833,79.63,79,65,3.8
138,Ponta Do Sol,PT,2022-01-31 04:46:55,32.6667,-17.1,65.12,38,0,10.16
139,Mrakovo,RU,2022-01-31 04:48:28,52.7161,56.6244,25.2,95,100,9.53
140,Mareeba,AU,2022-01-31 04:48:29,-17.0,145.4333,87.48,73,99,6.78
141,Saint-Philippe,RE,2022-01-31 04:48:29,-21.3585,55.7679,84.11,83,83,12.86
142,Saint Augustine,US,2022-01-31 04:44:34,29.8947,-81.3145,46.42,65,0,12.66
143,Namibe,AO,2022-01-31 04:48:30,-15.1961,12.1522,69.78,77,94,3.6
144,Carballo,ES,2022-01-31 04:48:31,43.213,-8.691,44.87,95,11,7.0
145,Peterhead,GB,2022-01-31 04:48:31,57.5058,-1.7981,38.12,68,88,39.62
146,Toktogul,KG,2022-01-31 04:48:31,41.8708,72.9402,24.93,64,10,1.61
147,Puri,IN,2022-01-31 04:48:32,19.8,85.85,75.72,56,25,5.41
148,Havoysund,NO,2022-01-31 04:48:32,70.9963,24.6622,30.43,76,100,16.87
149,Berlevag,NO,2022-01-31 04:48:33,70.8578,29.0864,28.4,64,90,2.17
150,Nabire,ID,2022-01-31 04:48:33,-3.3667,135.4833,85.1,59,98,6.02
151,Joshimath,IN,2022-01-31 04:48:34,30.5667,79.5667,50.41,40,0,5.53
152,Komsomolskiy,UZ,2022-01-31 04:48:34,40.4272,71.7189,30.92,93,100,4.61
153,Longyearbyen,SJ,2022-01-31 04:48:35,78.2186,15.6401,10.24,61,40,17.27
154,Pecos,US,2022-01-31 04:48:35,31.4229,-103.4932,54.3,66,40,0.0
155,Dom Pedrito,BR,2022-01-31 04:43:48,-30.9828,-54.6731,68.95,75,0,7.85
156,Parrita,CR,2022-01-31 04:48:36,9.5201,-84.3225,78.57,75,26,6.04
157,Severo-Kurilsk,RU,2022-01-31 04:48:36,50.6789,156.125,29.23,82,98,11.16
158,Capinzal,BR,2022-01-31 04:47:21,-27.3436,-51.6119,62.76,99,17,3.58
159,Sao Joao Da Barra,BR,2022-01-31 04:48:37,-21.6403,-41.0511,74.64,93,94,6.64
160,Gold Coast,AU,2022-01-31 04:48:38,-28.0,153.4333,89.17,80,20,19.57
